,Constituency,Const. No.,Leading Candidate,Leading Party,Trailing Candidate,Trailing Party,Margin,Round,Status
0,Anandapur,22,ABHIMANYU SETHI,Biju Janata Dal,JAYADEV JENA,Indian National Congress,10966,25/25,Result Declared
1,Angul,61,PRATAP CHANDRA PRADHAN,Bharatiya Janata Party,SANJUKTA SINGH,Biju Janata Dal,17433,21/21,Result Declared
2,Aska,128,SAROJ KUMAR PADHI,Bharatiya Janata Party,MANJULA SWAIN,Biju Janata Dal,8059,15/15,Result Declared
3,Athagarh,89,RANENDRA PRATAP SWAIN,Biju Janata Dal,ABHAYA KUMAR BARIK,Bharatiya Janata Party,3584,19/19,Result Declared
4,Athamallik,63,NALINI KANTA PRADHAN,Biju Janata Dal,SANJEEB KUMAR SAHOO,Bharatiya Janata Party,16153,21/21,Result Declared
5,Attabira,4,NIHAR RANJAN MAHANAND,Bharatiya Janata Party,SNEHANGINI CHHURIA,Biju Janata Dal,28910,19/19,Result Declared
6,Aul,98,PRATAP KESHARI DEB,Biju Janata Dal,DEBASMITA SHARMA,Indian National Congress,19628,32/32,Result Declared
7,Badasahi,32,SANATAN BIJULI,Bharatiya Janata Party,ANASUYA PATRA,Biju Janata Dal,37387,20/20,Result Declared
8,Balasore,38,MANAS KUMAR DUTTA,Bharatiya Janata Party,SWARUP KUMAR DAS,Biju Janata Dal,28626,18/18,Result Declared
9,Baliguda,82,CHAKRAMANI KANHAR,Biju Janata Dal,UPENDRA PRADHAN,Indian National Congress,1671,19/19,Result Declared
10,Balikuda-Erasama,103,SARADA PRASANNA JENA,Biju Janata Dal,SATYA SARATHI MOHANTY,Bharatiya Janata Party,25959,18/18,Result Declared
11,Bangriposi,29,SANJALI MURMU,Bharatiya Janata Party,RANJITA MARNDI,Biju Janata Dal,34476,26/26,Result Declared
12,Banki,88,DEVI RANJAN TRIPATHY,Biju Janata Dal,TUSARA KANTA CHAKRABARTY,Bharatiya Janata Party,17026,18/18,Result Declared
13,Barabati-Cuttack,90,SOFIA FIRDOUS,Indian National Congress,PURNA CHANDRA MAHAPATRA,Bharatiya Janata Party,8001,18/18,Result Declared
14,Barachana,50,AMAR KUMAR NAYAK,Bharatiya Janata Party,VARSHA PRIYADARSHINI,Biju Janata Dal,6310,19/19,Result Declared
15,Baramba,87,BIJAYA KUMAR DALABEHERA,Independent,DEBIPRASAD MISHRA,Biju Janata Dal,23479,22/22,Result Declared
16,Bargarh,3,ASHWINI KUMAR SARANGI,Bharatiya Janata Party,DEBESH ACHARYA,Biju Janata Dal,4772,17/17,Result Declared
17,Bari,49,BISWA RANJAN MALLICK,Biju Janata Dal,UMESH CHANDRA JENA,Bharatiya Janata Party,51465,19/19,Result Declared
18,Baripada,33,PRAKASH SOREN,Bharatiya Janata Party,SANANDA MARNDI,Biju Janata Dal,29385,27/27,Result Declared
19,Basta,37,SUBASINI JENA,Biju Janata Dal,BIJAN NAYAK,Indian National Congress,20377,26/26,Result Declared
20,Basudevpur,45,ASHOK KUMAR DAS,Indian National Congress,BISHNUBRATA ROUTRAY,Biju Janata Dal,631,21/21,Result Declared
21,Begunia,116,PRADIP KUMAR SAHU S/O-LAXMIDHAR SAHU,Biju Janata Dal,PRAKASHA CHANDRA BIJULI,Bharatiya Janata Party,47814,18/18,Result Declared
22,Berhampur,133,K. ANIL KUMAR,Bharatiya Janata Party,DR. RAMESH CHANDRA CHYAU PATNAIK,Biju Janata Dal,18709,22/22,Result Declared
23,Bhadrak,44,SITANSU SEKHAR MOHAPATRA,Bharatiya Janata Party,PRAFULLA SAMAL,Biju Janata Dal,16068,19/19,Result Declared
24,Bhandaripokhari,43,SANJIB KUMAR MALLICK,Biju Janata Dal,NIRANJAN PATNAIK,Indian National Congress,1551,20/20,Result Declared
25,Bhanjanagar,123,PRADYUMNA KUMAR NAYAK,Bharatiya Janata Party,BIKRAM KESHARI ARUKHA,Biju Janata Dal,16324,19/19,Result Declared
